"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R27","SM/R/0805P","-82,55mm","75,057mm","-82,55mm","76,2mm","-82,55mm","76,2mm","B","180,00",""
"R16","SM/R/0805P","-82,55mm","79,756mm","-82,55mm","78,613mm","-82,55mm","78,613mm","B","180,00",""
"R9","SM/R/0805P","-99,568mm","30,226mm","-99,568mm","29,083mm","-99,568mm","29,083mm","B","180,00",""
"R46","SM/R/0805P","-160,02mm","14,351mm","-160,02mm","15,494mm","-160,02mm","15,494mm","B","180,00",""
"R23","SM/R/0805P","-161,925mm","14,351mm","-161,925mm","15,494mm","-161,925mm","15,494mm","B","180,00",""
"R22","SM/R/0805P","-158,115mm","14,351mm","-158,115mm","15,494mm","-158,115mm","15,494mm","B","180,00",""
"R108","SM/R/0805P","-84,074mm","45,974mm","-84,074mm","47,117mm","-84,074mm","47,117mm","B","180,00",""
"R81","SM/R/0805P","-82,169mm","45,974mm","-82,169mm","47,117mm","-82,169mm","47,117mm","B","180,00",""
"R109","SM/R/0805P","-72,39mm","53,213mm","-72,39mm","52,07mm","-72,39mm","52,07mm","B","180,00",""
"R101","SM/R/0805P","-101,092mm","45,974mm","-101,092mm","47,117mm","-101,092mm","47,117mm","B","180,00",""
"R48","SM/R/0805P","-102,997mm","45,974mm","-102,997mm","47,117mm","-102,997mm","47,117mm","B","180,00",""
"R49","SM/R/0805P","-90,297mm","52,324mm","-90,297mm","51,181mm","-90,297mm","51,181mm","B","180,00",""
"R67","SM/R/0805P","-122,047mm","45,974mm","-122,047mm","47,117mm","-122,047mm","47,117mm","B","180,00",""
"R47","SM/R/0805P","-120,142mm","45,974mm","-120,142mm","47,117mm","-120,142mm","47,117mm","B","180,00",""
"R8","SM/R/0805P","-109,347mm","52,324mm","-109,347mm","51,181mm","-109,347mm","51,181mm","B","180,00",""
"S7","Molex_39-28-1103","-333,629mm","82,042mm","-342,011mm","84,836mm","-342,011mm","84,836mm","T","180,00",""
"S8","CON_MINI_FIT_ATX_4V","-335,7245mm","8,636mm","-329,438mm","5,842mm","-329,438mm","5,842mm","T","180,00",""
"U16","OPTO_SMD","-216,2175mm","0,762mm","-212,09mm","-0,508mm","-212,09mm","2,032mm","B","180,00",""
"R153","SM/R/0805P","-245,872mm","4,064mm","-245,872mm","5,207mm","-245,872mm","5,207mm","B","180,00",""
"R152","SM/R/0805P","-239,776mm","8,001mm","-239,776mm","9,144mm","-239,776mm","9,144mm","B","180,00",""
"Q3","BC337","-263,271mm","2,413mm","-263,271mm","1,397mm","-263,271mm","1,397mm","B","270,00",""
"Q2","BC337","-240,792mm","4,191mm","-241,808mm","4,191mm","-241,808mm","4,191mm","B","180,00",""
"R127","SM/R/0805P","-258,318mm","0,254mm","-258,318mm","1,397mm","-258,318mm","1,397mm","B","180,00",""
"C109","SM/R/0805P","-248,031mm","0,254mm","-248,031mm","1,397mm","-248,031mm","1,397mm","B","180,00",""
"R126","SM/R/0805P","-243,84mm","0,254mm","-243,84mm","1,397mm","-243,84mm","1,397mm","B","180,00",""
"D6","4007","-171,704mm","13,462mm","-171,704mm","15,875mm","-171,704mm","11,049mm","B","180,00",""
"R3","RES3","-140,843mm","45,593mm","-147,193mm","45,593mm","-147,193mm","45,593mm","T","180,00",""
"R4","RES5","-132,588mm","40,64mm","-126,238mm","40,64mm","-126,238mm","40,64mm","T","180,00",""
"C89","CDIS3","-149,479mm","51,689mm","-149,479mm","55,499mm","-149,479mm","55,499mm","T","180,00",""
"C87","CDIS3","-145,034mm","40,64mm","-148,844mm","40,64mm","-148,844mm","40,64mm","T","180,00",""
"C49","2U2/250V","-177,038mm","48,8315mm","-177,038mm","59,944mm","-177,038mm","59,944mm","T","180,00",""
"A1","DIS_5317_85","-155,448mm","65,278mm","-115,316mm","65,278mm","-115,316mm","65,278mm","T","180,00",""
"T6","S1","-313,69mm","2,413mm","-313,69mm","2,286mm","-313,69mm","2,413mm","T","180,00",""
"C64","2N2/250V","-3,81mm","0mm","-7,62mm","0mm","-7,62mm","0mm","T","180,00",""
"C61","2N2/250V","16,383mm","13,97mm","16,383mm","17,78mm","16,383mm","17,78mm","T","180,00",""
"C32","CDIS3","-197,358mm","47,625mm","-197,358mm","51,435mm","-197,358mm","51,435mm","T","180,00",""
"C20","2N2/250V","-55,88mm","86,106mm","-55,88mm","82,296mm","-55,88mm","82,296mm","T","180,00",""
"C25","2N2/250V","-17,526mm","87,376mm","-17,526mm","83,566mm","-17,526mm","83,566mm","T","180,00",""
"A2","FIDUCIAL","-226,568mm","69,723mm","-226,568mm","69,723mm","-226,568mm","69,723mm","B","180,00",""
"C26","CDIS2","-251,968mm","70,485mm","-254,508mm","70,485mm","-254,508mm","70,485mm","T","180,00",""
"C1","220N/630V","-85,725mm","11,938mm","-85,725mm","21,844mm","-85,725mm","21,844mm","T","180,00",""
"D5","4007","-97,663mm","12,192mm","-97,663mm","9,779mm","-97,663mm","14,605mm","B","180,00",""
"C7","SM/C/0805","-101,473mm","13,462mm","-101,473mm","12,319mm","-101,473mm","12,319mm","B","180,00",""
"VR1","VARISTOR2","-7,239mm","12,319mm","-7,239mm","16,129mm","-7,239mm","16,129mm","T","180,00",""
"T2","S1","14,986mm","2,286mm","14,986mm","2,286mm","14,986mm","2,286mm","T","180,00",""
"A9","FIDUCIAL","1,397mm","26,797mm","1,397mm","26,797mm","1,397mm","26,797mm","B","180,00",""
"L3","E30/14","-36,195mm","13,2715mm","-28,702mm","0,762mm","-28,702mm","25,781mm","T","180,00",""
"R102","RES4","-195,326mm","17,145mm","-195,326mm","22,225mm","-195,326mm","22,225mm","T","180,00",""
"C52","","-199,009mm","22,479mm","-199,009mm","21,209mm","-199,009mm","21,209mm","T","180,00",""
"U12","TNY275","-189,103mm","19,558mm","-192,913mm","23,368mm","-192,913mm","23,368mm","T","180,00",""
"D24","4007","-203,708mm","12,573mm","-203,708mm","10,16mm","-203,708mm","14,986mm","B","180,00",""
